DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
559.65,1949.7198,517.2207,46.5157,3769722.5,44485.6875,0.4377,3,3912591.5933721676,70949.52497651709,2021.5831943867802,57.221737380694826,0.39422835502153164
559.8,2008.5356,515.0124,49.0248,3900014.5,44485.6875,0.4009,3,3912078.1187926517,64754.01118632342,2021.2006796590276,57.23372463574399,0.3944659551637711
559.95,2002.6738,508.0296,49.7512,3942608.25,44485.6875,0.4046,3,3911845.8452181704,58729.175050623635,2021.0389354844879,57.279506354028314,0.3945659576535518
560.1,1984.9958,494.8567,49.8235,4011259.25,44485.6875,0.4157,3,3911877.4753458775,52879.45094360574,2021.0897550933332,57.35682262264006,0.39453351341189247
560.25,1976.8796,493.6408,50.1709,4004740.75,44485.6875,0.4207,3,3912154.842441181,47208.63902825386,2021.3436503030032,57.463200949804005,0.3943745709254176
560.4,1946.7881,497.2517,50.8366,3915658.25,44485.6875,0.4395,3,3912659.1036637872,41719.91304224673,2021.7899448173205,57.595981637314374,0.39409581764011276
560.55,1867.907,505.5183,52.7676,3695492.0,44485.6875,0.4888,3,3913370.929493261,36415.830382031825,2022.4168746581506,57.75234454767087,0.39370461692074327
560.7,1882.3469,517.5624,57.3584,3636973.0,44485.6875,0.4798,3,3914270.6877631904,31298.34432144032,2023.211694966116,57.929337022002976,0.39320894105786897
560.85,1939.8719,516.33,60.908,3757164.5,44485.6875,0.4438,3,3915338.620926883,26368.818194907082,2024.160792368081,58.12390269574847,0.3926173008284791
561.0,1987.7468,512.3387,62.3056,3879876.5,44485.6875,0.4139,3,3916555.015300178,21628.04137077105,2025.2498020757878,58.332910952250906,0.3919386721368963
561.15,2010.8981,505.3396,68.2345,3979971.75,44485.6875,0.3994,3,3917900.3611565814,17076.24683722996,2026.4637288523443,58.553186750012266,0.39118242027962763
