DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label
575.25,2084.4414,531.6331,66.7297,3920858.5,-123916.8906,0.3535,3
575.4,2054.7173,532.8651,64.9727,3856017.25,-123916.8906,0.3721,3
575.55,2049.3647,534.8563,64.767,3831620.75,-123916.8906,0.3754,3
575.7,2071.6189,535.7466,65.1137,3866789.0,-123916.8906,0.3615,3
575.85,2082.0632,532.9778,66.3265,3906530.5,-123916.8906,0.355,3
576.0,2073.2024,528.6421,68.0209,3921764.25,-123916.8906,0.3605,3
576.15,2059.689,525.2565,68.778,3921292.75,-123916.8906,0.3689,3
576.3,2061.1646,522.2539,68.778,3946750.5,-123916.8906,0.368,3
576.45,2072.6072,522.5975,66.6574,3965984.75,-123916.8906,0.3609,3
576.6,2081.2588,527.541,63.7802,3945308.5,-123916.8906,0.3555,3
576.75,2079.7246,530.9733,62.8568,3916823.0,-123916.8906,0.3564,3
576.9,2079.3806,531.45,62.637,3912652.5,-123916.8906,0.3566,3
577.05,2089.4434,528.5648,62.3989,3953258.75,-123916.8906,0.3504,3
577.2,2095.8748,525.0699,61.454,3991611.25,-123916.8906,0.3464,3
577.35,2105.5498,526.0789,59.0014,4002327.75,-123916.8906,0.3403,3
577.5,2115.2209,526.2641,56.6875,4019336.0,-116189.2969,0.3343,3
577.65,2109.6011,523.9343,55.6413,4026453.5,-88873.3672,0.3378,3
577.8,2097.4863,522.2186,55.4301,4016483.0,-64331.2969,0.3453,3
577.95,2089.1133,521.7235,55.5591,4004258.25,-64331.2969,0.3506,3
578.1,2083.822,523.4979,56.5735,3980639.0,-64331.2969,0.3539,3
578.25,2075.7666,525.3659,58.8328,3951088.0,-64331.2969,0.3589,3
578.4,2073.9873,524.4722,60.457,3954431.25,-64331.2969,0.36,3
578.55,2066.0771,522.0605,60.457,3957540.75,-64331.2969,0.365,3
578.7,2050.5691,517.4237,60.5361,3963094.0,-64331.2969,0.3746,3
578.85,2035.0587,512.4415,60.7327,3971282.5,-64331.2969,0.3843,3
579.0,2015.0077,511.2166,60.8142,3941585.5,-64331.2969,0.3969,3
579.15,2006.6368,511.1979,61.5059,3925341.25,-64331.2969,0.4021,3
579.3,2033.6536,512.826,63.0521,3965553.0,-64331.2969,0.3852,3
579.45,2063.0764,513.6528,63.4469,4016480.0,-64331.2969,0.3669,3
579.6,2061.6943,512.9974,63.4469,4018917.0,-64331.2969,0.3677,3
579.75,2066.5811,513.2109,63.4469,4026772.25,-64331.2969,0.3647,3
579.9,2062.6487,514.6796,63.4469,4007672.0,-64331.2969,0.3671,3
580.05,2064.3391,519.931,63.4415,3970595.75,-64331.2969,0.366,3
580.2,2060.1455,529.2081,63.4102,3893010.0,-64331.2969,0.3686,3
580.35,2060.1743,536.8561,63.1308,3837481.0,-64331.2969,0.3687,3
580.5,2078.6892,536.466,60.6871,3874783.5,-64331.2969,0.3571,3
580.65,2071.2649,532.87,58.1385,3887320.5,-64331.2969,0.3617,3
580.8,2076.8821,516.9189,58.0621,4017853.5,-64331.2969,0.3582,3
580.95,2082.1948,511.3886,57.62,4071646.25,-64331.2969,0.3548,3
581.1,2110.2659,518.0344,57.62,4073636.0,-64331.2969,0.3373,3
581.25,2100.4004,525.0218,57.62,4000603.75,-64236.8945,0.3435,3
581.4,2078.3999,528.9114,57.62,3929580.25,-57302.5391,0.3573,3
581.55,2082.5,528.706,58.0467,3938862.0,84916.4609,0.3547,3
581.7,2070.459,524.6318,58.0467,3946500.0,84916.4609,0.3622,3
581.85,2082.5764,519.5057,58.558,4008786.0,84916.4609,0.3547,3
582.0,2098.0669,513.4765,58.5756,4086045.75,84916.4609,0.345,3
582.15,2107.6663,511.5498,58.2431,4120165.5,84916.4609,0.339,3
582.3,2103.2383,510.3503,58.2193,4121165.5,84916.4609,0.3417,3
582.45,2087.6565,510.701,58.5424,4087828.5,84916.4609,0.3514,3
582.6,2086.6321,512.7239,58.8443,4069706.75,84916.4609,0.3521,3
582.75,2089.3203,515.5092,58.8786,4052935.5,84916.4609,0.3504,3
582.9,2094.4797,514.2874,58.8786,4072597.75,84916.4609,0.3472,3
583.05,2101.9368,512.6005,58.2242,4100548.75,84916.4609,0.3426,3
583.2,2095.5913,511.6761,58.0753,4095540.25,84916.4609,0.3465,3
583.35,2092.467,510.8596,57.4574,4095974.0,84916.4609,0.3485,3
583.5,2119.5603,511.9256,57.3106,4140340.75,84916.4609,0.3316,3
583.65,2125.772,513.5036,57.3106,4139749.75,84916.4609,0.3276,3
583.8,2114.0945,513.5224,57.9749,4116845.25,84916.4609,0.3349,3
583.95,2111.6204,510.8415,58.1842,4133650.5,84916.4609,0.3365,3
584.1,2116.2869,510.6817,58.1842,4144041.5,84916.4609,0.3336,3
584.25,2125.5339,513.2444,57.3432,4141375.0,84916.4609,0.3278,3
584.4,2114.2498,515.4706,56.0535,4101634.25,84916.4609,0.3348,3
584.55,2109.3284,517.5963,55.6322,4075252.25,84916.4609,0.3379,3
584.7,2105.8643,519.5184,55.3307,4053512.5,84916.4609,0.3401,3
584.85,2092.8679,518.6968,55.1802,4034842.75,84916.4609,0.3482,3
585.0,2097.1594,515.2933,55.3454,4069956.25,84916.4609,0.3455,3
585.15,2106.9653,516.7051,56.4387,4077749.75,84916.4609,0.3394,3
585.3,2101.5388,516.8865,57.0671,4065760.25,109553.0625,0.3428,3
585.45,2097.9434,516.1172,58.4501,4064858.0,145690.8125,0.345,3
585.6,2103.8606,515.5051,61.9482,4081183.75,159570.625,0.3414,3
585.75,2108.1643,512.3154,65.2975,4115060.5,159570.625,0.3387,3
585.9,2108.8599,509.9289,66.4421,4135598.0,159570.625,0.3382,3
586.05,2100.1543,509.3235,66.4421,4123410.25,159570.625,0.3436,3
586.2,2098.5366,508.8317,66.4421,4124231.25,159570.625,0.3446,3
586.35,2106.9453,508.566,66.4421,4142915.25,159570.625,0.3394,3
586.5,2110.52,508.5943,66.8358,4149711.75,159570.625,0.3372,3
586.65,2110.9204,508.3675,67.2738,4152351.75,159570.625,0.3369,3
586.8,2104.9221,507.7157,67.2738,4145863.5,159570.625,0.3407,3
586.95,2094.3184,506.4056,66.6837,4135650.0,159570.625,0.3473,3
587.1,2084.9302,505.0955,65.5341,4127794.25,159570.625,0.3532,3
587.25,2083.0403,505.8235,65.0128,4118118.25,159570.625,0.3544,3
587.4,2084.6711,508.8969,64.834,4096583.75,159570.625,0.3533,3
587.55,2078.4326,513.8054,64.3796,4045268.5,159570.625,0.3573,3
587.7,2074.4629,518.1759,63.5182,4003458.75,159570.625,0.3597,3
587.85,2080.8657,522.454,61.8509,3982869.0,159570.625,0.3557,3
588.0,2089.3137,525.97,59.4695,3972346.0,159570.625,0.3504,3
588.15,2089.0081,528.4271,55.663,3953250.0,159570.625,0.3506,3
588.3,2094.7568,529.6959,52.377,3954649.0,159570.625,0.3471,3
